Transcript	SRR6080007	SRR6080008	SRR6080009	SRR6080012	SRR6080013	SRR6080014
AT3G17185.2	42.5139	29.0014	6.45857	21.2233	14.1573	28.0925
AT3G17190.1	0	0	0	0	0	0
AT3G17190.2	0	0	0	0	0	0
AT3G17205.1	30.1245	0	36.9672	0	0	33.1305
AT3G17205.2	464.73	595.089	257.408	746.674	838.301	893.984
AT3G17205.3	269.145	267.911	348.691	633.326	521.699	452.886
AT3G17210.1	50.5114	0	0	0	0	0
AT3G17210.2	2234.49	1923	1936	1575	1658	1690
AT3G17220.1	22	27	10	15	23	32
AT3G17225.1	46	38.9617	26	35	31	67
AT3G17227.1	1	1.03834	3	0	0	2
AT3G17230.1	0	0	0	0	0	0
AT3G17240.1	393.658	587.366	431.674	544.646	460.83	598.963
AT3G17240.2	14.9417	15.998	18.3929	47.0851	42.3332	47.3352
AT3G17240.3	793.627	675.887	779.389	1379.72	1255.84	1286.91
AT3G17250.1	114	135	100	218	213	220
AT3G17261.1	0	0	0	0	0	0
